ds,yhat,yhat_lower,yhat_upper
2023-01-01,120.7980261061144,116.54766094783292,125.18056845601232
2023-01-02,128.88463872530042,124.31308153254314,132.9022946447984
2023-01-03,134.94832614595916,130.52419236458996,139.4087230021742
2023-01-04,143.08875034807554,138.80672927900875,147.3373440425729
2023-01-05,149.16575592395745,144.7358888583662,153.24707450263404
2023-01-06,156.97383838265188,152.584220173121,161.0828483187476
2023-01-07,164.4212795031305,160.0343122599324,168.70888095619182
2023-01-08,168.40282413796976,164.2035916248981,172.60240807695843
2023-01-09,172.18678707511089,167.91343192072674,176.32939171107122
2023-01-10,175.35741310099647,171.18826280224758,179.76426533705092
2023-01-11,181.75469343181595,177.43574402928442,185.9661742294025
2023-01-12,187.00537909444338,182.8672117222039,191.3185506156114
2023-01-13,194.69894934819712,190.5172162485521,199.14544661671525
2023-01-14,202.56688810691625,198.12352414458593,206.9609038971258
2023-01-15,207.3543736143311,202.98360930871868,211.70327505296783
2023-01-16,212.20551958488096,207.96145971987238,216.65968092444294
2023-01-17,216.603246365812,212.14778496039463,221.14179423875905
2023-01-18,224.3062340598758,220.01091829039262,228.4589189895511
2023-01-19,230.87692927137186,226.6927650746854,235.43663429526785
2023-01-20,239.8545674886101,235.95900337833208,244.26488026122422
2023-01-21,248.93173323511263,244.76076129338335,253.359743530862
2023-01-22,254.8236923451785,250.68883879982948,259.0514006583753
2023-01-23,260.65172057681184,256.36199073762185,264.9830821598258
2023-01-24,265.8815493225011,261.5899395022944,270.0802066703231
2023-01-25,274.2593803572457,270.14379109385186,278.5598250144435
2023-01-26,281.3394028006653,277.1509437830075,285.65682185432075
2023-01-27,290.65670291412164,286.3461405983588,294.7773233423192
2023-01-28,299.9039916698442,295.52514502796924,304.300873563859
2023-01-29,305.8012697223445,301.24835721205545,310.4720229100047
2023-01-30,311.47953074295026,307.03694096143647,316.0731559275602
2023-01-31,316.4195012702155,312.20280346204606,320.6009763393714
2023-02-01,324.38775618978303,320.2753330574594,328.61684495196124
2023-02-02,330.9640482530438,326.4477048379734,335.46476760994864
2023-02-03,339.713672901016,335.68030906616224,343.97444811562207
2023-02-04,348.3632552178525,343.7120134394144,352.67667794978394
2023-02-05,353.6690758760982,349.2102320683419,358.0912455762742
2023-02-06,358.79898071141963,354.42827382814755,363.0700272561298
2023-02-07,363.2693989193123,358.8847073492647,367.76111867679117
2023-02-08,370.8790067020616,366.71807928918423,375.404322298541
2023-02-09,377.23392247001846,372.7147156862581,381.26184358045595
2023-02-10,385.91796281809775,381.57584346150543,390.37057446099857
2023-02-11,394.6666163431701,390.3820392909361,399.18422084756327
2023-02-12,400.2340385593274,395.90568982354824,404.5605070829997
2023-02-13,405.77438655527055,401.47782073375055,410.1540975186345
2023-02-14,410.7787323091076,406.46087119317076,415.09510423906715
2023-02-15,419.01014426215824,414.8565815628578,423.25526870367776
2023-02-16,426.0310208603798,421.7840324397695,430.1919496575125
2023-02-17,435.37672146510874,430.98896630704064,440.0077327651518
2023-02-18,444.7340681268994,440.346251624111,448.8182400162931
2023-02-19,450.813968620502,446.32686945458903,455.12141307367904
2023-02-20,456.7393622012321,452.7576599341358,460.9489270785382
2023-02-21,461.98954418754124,457.45233330265955,466.4566798675466
2023-02-22,470.343211932718,466.0899518048739,474.8618966003776
2023-02-23,477.41400913148203,472.6800480040796,481.5718127654012
2023-02-24,486.83225473913615,482.24674376922525,490.8403348778657
2023-02-25,496.4310287919574,492.1774313035906,500.8771590811226
2023-02-26,503.12543511967425,498.61810285196674,507.65194499295126
2023-02-27,510.30579800630915,506.2648047809481,514.6316452198323
2023-02-28,517.7854074084491,513.4277493539707,522.3463619842651
2023-03-01,529.7447351142707,525.3986170941658,533.9259390632649
2023-03-02,542.2655186896736,537.9747477438387,546.6014227485517
2023-03-03,559.5080785059129,555.3412070915093,564.0175216186608
2023-03-04,579.889796335939,575.3450175850893,584.0325595090229
2023-03-05,600.9534256240361,596.6008741353776,605.3755591438875
2023-03-06,626.7459489421992,622.7836471028808,631.3029343092529
2023-03-07,657.7486757719128,652.9417453296511,662.0412302300045
2023-03-08,698.8007096478213,694.265987637856,703.2228430206179
2023-03-09,746.6095206019883,742.2662582332937,750.7332488816302
2023-03-10,805.9024594229943,801.5996694140723,810.1031626737291
2023-03-11,875.5777408230424,871.5189833273214,879.991829773909
2023-03-12,953.5442819001748,949.2757931849317,958.0627564740539
2023-03-13,1044.0719311031646,1039.8296950923766,1048.1807089448873
2023-03-14,1147.6936849456567,1143.1483464955231,1151.7198127571992
2023-03-15,1269.1029870137645,1264.6960342393343,1273.2033774766262
2023-03-16,1404.6408453352246,1400.5461264299338,1408.8014684728535
2023-03-17,1558.427609675964,1553.8466213375204,1562.4053094038968
2023-03-18,1728.4989138653177,1724.2145252586654,1732.9129098248052
2023-03-19,1911.6360873505337,1907.4871583969182,1916.2004433815555
2023-03-20,2110.713395338581,2106.561083705189,2114.94926816119
2023-03-21,2324.6044025718465,2320.3325268553017,2329.1396789895866
2023-03-22,2556.0910959875055,2551.3744168305725,2560.2432239502136
2023-03-23,2799.3708580707953,2794.905792893792,2803.5904062233494
2023-03-24,3056.216279425517,3051.8646197808193,3060.487495778046
2023-03-25,3322.14723501286,3317.7480369262403,3326.248928345324
2023-03-26,3591.305206892944,3587.1575833476977,3595.4603124904934
2023-03-27,3863.8516442439413,3859.5119538912927,3868.233963774041
2023-03-28,4135.931840459824,4131.486695890166,4140.047970986734
2023-03-29,4407.646908542182,4403.302254114019,4412.045162905339
2023-03-30,4670.627669370169,4666.516038328219,4674.896164772113
2023-03-31,4924.263963798073,4919.46107371827,4928.4310009174405
2023-04-01,5161.947165275304,5157.677503208242,5166.356420307639
2023-04-02,5376.014094526557,5371.744840250292,5380.231430903613
2023-04-03,5565.212254737118,5561.084765579273,5569.43919949396
2023-04-04,5724.725951016831,5720.350250166179,5728.911506781329
2023-04-05,5854.203966680314,5849.7650080430685,5858.68221067391
2023-04-06,5945.380762950581,5940.639035135066,5949.709989209069
2023-04-07,5998.3429801148695,5993.8854669610955,6002.677839292901
2023-04-08,6007.797452587204,6003.805176597453,6012.149710806172
2023-04-09,5968.027595463221,5963.570781095157,5972.460550898509
2023-04-10,5880.357005051107,5876.005317705609,5884.853069618061
2023-04-11,5743.159071732047,5738.740402378474,5747.403869451496
2023-04-12,5559.852858603381,5555.457844921997,5564.227667612513
2023-04-13,5326.477167609534,5322.224670651225,5330.858117433299
2023-04-14,5047.894919191999,5043.719958875677,5052.298010527511
2023-04-15,4723.98480769091,4719.660099538807,4728.478238640498
2023-04-16,4354.508239695381,4350.277786758928,4359.292379251603
2023-04-17,3946.4719345947715,3942.0763898690398,3950.7265109671976
2023-04-18,3504.0268858008235,3499.798920176117,3508.494443891891
2023-04-19,3036.3461649851506,3031.9854244665503,3040.9308268826876
2023-04-20,2545.076003974983,2540.657662083412,2549.676552927108
2023-04-21,2040.4150232633228,2035.9691687494192,2044.8474424453188
2023-04-22,1527.181480015118,1522.8800440147013,1531.5229117506037
2023-04-23,1009.559552101491,1005.0888462813905,1013.8859369245753
2023-04-24,498.348071418142,494.01058313136315,502.6296067574208
2023-04-25,0.7553862045748474,-3.5483246399691124,5.091683458168295
2023-04-26,-471.81431541516463,-475.8751159586398,-467.27919237219373
2023-04-27,-916.3861452675914,-920.5836799620937,-911.9150164551343
2023-04-28,-1322.393892561391,-1326.7161779732512,-1317.8933175347142
2023-04-29,-1685.6517631099548,-1689.9734053906636,-1681.4703644850074
